author,title,lyrics,song_id
Trần Bình,Tình Yêu Thuỷ Chung,"Bài hát: Tình Yêu Thuỷ Chung - Trần Bình, Việt Linh
Có phải là duyên khi anh gặp em
Từ kiếp trước, thề ước chung đôi
Cùng hân hoan
Nhìn nhau đắm đuối
Lòng quyến luyến,
Chuyện mãi không thôi
Em từ nơi đâu đã đến nơi này
Anh hân hoan
Trao Em vòng tay
Và đôi ta,
Sống chung hạnh phúc
Cùng xây đắp,
Cho mối duyên này
Em ơi Em ơi, dù phong ba
Dù bão tố, dù nắng cháy
Anh vẫn yêu Em, mãi mãi không thôi
Anh ơi Anh ơi, dù gian nan
Dù khốn khó Ta vẫn yêu nhau,
Đến cuối cuộc đời
Ta vẫn bên nhau qua bao buồn vui
Ta yêu nhau, tình yêu đắm say
Tình yêu ta đẹp, tình yêu thắm thiết
Hạnh phúc trăm năm
Tình yêu thuỷ chung
 
",0
Trần Bình,Lá Thư Của Cha,"Bài hát: Lá Thư Của Cha - Trần Bình
Từ ngày con ra đi
Cha lòng buồn thương nhớ
Cô đơn và sầu muộn
Bao ngày tháng mong chờ
Từ ngày con ra đi
Tới thời gian bây giờ
Thấm thoát mười hai năm chẵn
Cha thường đứng ngồi ngẩn ngơ
[ĐK:] 
Mẹ con không còn nữa
Đi rồi quên từ giã
Cha một mình thui thủi
Lạnh giá và đơn côi
Nay con ở phương xa
Đừng quên nơi quê nhà
Vẫn còn người trông đợi
Người ấy là cha già
Cha chờ con trong hấp hối
Lá thư cuối cùng con ơi
Thư này mong con nhận được
Thương con vất vả đơn côi
Mưa lạnh ngoài trời đang rơi
Gắng thêm một chút tàn hơi
Cha đây nhắn lại một lời
Chúc con hạnh phúc trọn đời trở lại
[ĐK:]
Thư này cuối cùng con ơi
Mẹ con đưa tay vẫy gọi
Bao năm cha đây trông đợi
Mẹ đón cha về chung đôi
Nhớ lời cha dặn con ơi
Hiến mình giúp đời yên vui
Dù xa cách biệt phương trời
Chớ quên tổ quốc giống nòi",1
Đông Nguyễn,Đoạn Buồn Biết Mấy,"Đoạn buồn cho tôi biết mấy
Người tình rời xa tôi khuất bóng
Biết cô đơn dâng ngập nỗi sầu 
Rồi từng chiều mấy đen tim tím
Một mình buồn tôi bước đơn côi 
Mang trong tim nỗi nhớ một mình
Cho trời chiều buồn mênh mang
Lang thang mình tôi bước trên nỗi sầu
Đi đâu về đâu muôn lối vô định
Đoạn buồn biết mấy trong tôi
Nhớ người không nhớ đến tôi
Chiều tím tôi gọi tên ai 
Đoạn buồn cho tôi biết mấy
Hẹn hò em đã ngó lơ
Chiều nay tôi đứng một mình
Dòng người đua chen khắp chốn
Nhìn hoài không thấy em sang
Cho tôi đoạn buồn tình nhân.
 
",2
Cao Hoàng,Chiều Trên Đòi Canve,"Can Vê chiều nao lặng lẽ
Thân gầy gục xuống đớn đau. 
Gió thôi gào đêm buồn buông xuống. 
Thế nhân chìm trong muôn tội lỗi. 
Lòng con đã thống hối Ngài ơi. 
Đã bao lần tim Chúa đớn đau. 
Bao nhiêu lần trót lỗi nguyện thề. 
Ảo vọng trần gian mải mê đi tìm. 
[Đk:]
Yêu con chỉ vì yêu con Chúa đã hy sinh. 
Yêu con chỉ vì yêu con Chúa đã quên thân. 
Quên tội lỗi trong đời con lỗi phạm. 
Can Vê chiều buồn năm xưa thân Chúa bơ vơ. 
Bao nhiêu lằn đòn roi đau thân xác ê chề. 
Phút cuối cùng trên thánh giá kia. 
Chúa gục đầu vẫn nhớ thương con. 
Chúa vẫn thầm thứ tha tội con.",3
Đỗ Minh Hiếu,Mùa Xuân Tình Yêu,"Bài hát: Mùa Xuân Tình Yêu - Đỗ Minh Hiếu
Em ơi! Con sông, dòng suối tuy chưa hề nói có chung cội nguồn 
Em ơi! khi ta nhìn nhau yêu thương tràn về thác đổ, con sông dạt dào sóng vỗ miên man. 
Em ơi! Xuân nay vừa tới, xuân không hề nói chỉ chao nụ hồng.
 Em ơi! qua bao ngày đông, xuân nay lại về nhắc nhở, bao nhiêu là điều để nhớ, để thương. 
Mùa xuân đến, nhắc ta những ngày bên sân trường lúc nắng mưa. 
Mùa xuân đến, nhắc ta những điều mà ta chưa nói ra. 
Mùa xuân đến nhắc ta những lần trên con đường phố *** và hôm nay, 
bước trên phố này, dường như nghe tiếng trái tim mình hát ca.",4
Uyên Di,Tình Yêu Mùa Xuân,"Bài hát: Tình Yêu Mùa Xuân - Uyên Di, Duy Linh
Mùa xuân mang đến niềm vui trong khắp đất trời 
Mùa đông băng giá lặng đi không tiếng giã từ 
Bạt ngàn gió xa, một màu nắng sớm
Mừng nắng xuân chào mùa nắng tươi
Mừng nắng xuân chào mùa nắng tươi
Bầy chim đang hót bài ca xuân đến với đời
Ngàn mai tươi thắm nụ xinh như cất tiếng cười 
Ngàn lời chúc xuân rộn ràng hát vang
 Và lời hát ai làm lòng đắm say
(D/K)
Người yêu hỡi khi mùa xuân đến
Là bao những mong chờ e ấp
Lời chim hót nói thay cho lòng tiếng yêu thương này
Cùng cơn gió xuân nồng đem tới
Tình yêu mến chan hòa muôn lối
Mùa xuân hát tiếng yêu cho mình đắm say ân tình
--==--
Ngoài kia chim hót mừng xuân hoa lá chúc mừng
Mừng nghe cơn gió mùa đông đã mãi xa rồi
Cuộc đời đã qua, Một thời đã xa
Tìm thấy đâu ngày dài đã qua
Tìm thấy đâu ngày dài đã qua
Tình yêu hãy đến cùng nhau chung bước lối tình Mùa xuân đang hát cùng ta câu hát chúc mừng Ngàn lời chúc xuân rộn ràng hát vang Và lời hát ai làm lòng đắm say
 
",5
Nhật Thắng,Tình Yêu Tìm Thấy,"Sóng cứ trôi dạt nơi chốn nào
Tìm em mênh mông biển trời
Vẫn thấy con đường xa tít mù
Tìm em tìm hoàng hôn lãng.
Nắng tắt trăng vừa nơi cuối đường
Bỏ quên con tim héo mòn
Cứ mãi đi tìm nhau thế thôi
Để cho ai vơi nhung nhớ.
Và rồi tìm thấy nhau
Tình yêu sao ngỡ ngàng
Đêm về chợt nghe lòng thao thức.
[ĐK:]
Vì yêu mong manh như say
Vì yêu mong manh như mơ
Mơ giấc mơ ngày mai.
Tình yêu cho ta bên nhau
Tình yêu cho ta bao ân tình
Trọn đời bên em.
 
",6
Cao Hoàng,Thương Về Dĩ Vãng,"Ngày tháng trôi từ lúc em ra đi.
Riêng nơi đây một mình tôi với tôi.
Giọt sầu buồn vương khóe mắt em đã xa.
Vầng trăng xưa nay đã vỡ tan rồi.
Thương về dĩ vãng khung trời xa xôi.
Thương về dĩ vãng tình đã xa ta.
Em về nơi ấy mặc ta nơi đây.
Hoang vu một góc trời bơ vơ.
[ĐK:]
Bên ly rượu cay lên men cuộc đời.
Bên ly rượu cay ta say một mình.
Nước mắt nào nhỏ xuống vực sâu.
Nước mắt nào trôi mãi về đâu.
Dĩ vãng người ơi ngọt bùi đắng cay.
Dĩ vãng người ơi giờ sao vắng tênh?
Nhìn mây lang thang vương dấu bẽ bàng.
Cơn gió vô tình xé nát chiều hoang.
 
",7
Khắc Báo,Nước Mắt Hoa Sim,"Người đã đi rồi còn đây một mình tôi với yêu thương tả tơi 
Đành lòng sao em nỡ vội quên hết kỷ niệm xưa của đôi mình
Và ngày xưa đó hai ta cùng bên cạnh tặng nhành sim tím yêu thương
Thì thầm em khẽ nói trót yêu anh rồi 
Nhưng nỡ nào lừa dối nỡ lòng nào phụ tình tôi 
Nào có ai ngờ đồng tiền đã làm em nỡ quên ân tình xưa 
Nhìn cành hoa sim héo sầu tựa cây khô đắng lòng tình yêu chúng mình
Ngày xưa em nói hoa sim là biểu tượng cho sự chung thủy hai ta 
Và rồi theo năm tháng thay lòng bội bạc 
Để lại câu xin lỗi nghẹn ngào nước mắt hoa sim
[ĐK:]
Em sao nỡ đành lòng sao nỡ phụ tình này sao nỡ vội quay lưng 
Và sao tại em đem lòng dối lừa một tình yêu ngỡ lâu bền 
Tôi phận chẳng có sang giàu hai bàn tay trắng nên đành mất em 
Giọt nước mắt cứ lăng dài đêm ngồi tiếc nhớ một tình duyên lỡ làng !
Lặng lẽ âm thầm trên con đường ngày xưa những tâm tư sầu vương 
Nhìn nhành hoa sim vẫn còn nơi đây nhưng người cũ đã không còn 
Một mình lê bước ký ức ngày xưa ùa về làm tan nát tim đau 
Thì thôi tôi xin chúc em hạnh phúc bên người 
Tôi đành quên hết xin giã từ tình yêu! 
(Thì thôi tôi xin chúc em hạnh phúc bên người 
Tôi âm thầm khóc ngậm ngùi nước mắt hoa sim)",8
Mai Xuân Việt,Tiếng Ca Đàn Chim Việt,"Mênh mông hương lúa vàng
Ngát thơm khói lam chiều
Êm đềm ngân nga tiếng tiêu
Dòng nước tắm mát cánh đồng xanh
Uốn lượn quanh qua làng thôn, chợ quê
Ban mai tia nắng hồng lá rơi lối em về
Thu vàng mang bao vấn vương
Tà áo lướt thướt tóc vờn bay
Theo làn mây khi chiều buông đồng xanh
Yêu bến quê rộn vang vui ngày mùa
Bay cò bay hương lúa ngát nồng say
Trâu lang thang qua triền đề chiều chiều
Tuổi thơ nào tíu tít ánh trăng rơi
Tung cánh chim nơi bờ tre đầu làng
Mang hồn quê ôi tiếc nuối ngày xanh
Bao yêu thương ngân vang theo cung đàn
Xa tuổi hồng ngày thắm hát bên em
Hương xuân ngát xanh
Kìa bướm ong bay rập rờn
Muôn chim chiều ríu rít hót hoan ca
Em nhớ về chốn quê qua đầu làng
Nhặt *** tôi cánh mai rơi
Em nhớ về lối thu qua đò chiều
Nhặt *** tôi nhánh hoa xưa.
 
",9
